feature,importance
rfh_lag1,0.43671993583586904
r1h_lag1,0.16916704241722996
month,0.0924472065706016
month_cos,0.053116783470499855
rfq_lag1,0.045832533568273284
r1q_lag1,0.04126904454440649
month_sin,0.017386474011082145
r3h_lag14,0.016016138143993573
r3q_lag14,0.009944381829648822
r1q_lag14,0.009496549290812336
r1h_lag7,0.00855825042972696
rfh_lag7,0.008105209918420682
r3q_lag7,0.0077015814149656685
r1q_lag7,0.007178113076422258
r3h_lag2,0.006860587207942121
r1h_lag14,0.006824511666902932
r3h_lag7,0.006579739764851602
r3q_lag2,0.006459722586456909
rfq_lag14,0.006304769333966942
rfh_lag2,0.0062999483215780165
